research_version,curve_id,city_id,species_id,week,week_start_mm_dd,week_midpoint_mm_dd,seasonal_opportunity_ceiling,one_decimal_display_preview,confidence,production_ready
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,1,01-01,01-04,1.4,1.4/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,2,01-08,01-11,1.4,1.4/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,3,01-15,01-18,1.4,1.4/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,4,01-22,01-25,1.4,1.4/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,5,01-29,02-01,1.5,1.5/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,6,02-05,02-08,1.5,1.5/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,7,02-12,02-15,1.5,1.5/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,8,02-19,02-22,1.5,1.5/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,9,02-26,03-01,1.5,1.5/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,10,03-05,03-08,1.6,1.6/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,11,03-12,03-15,1.6,1.6/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,12,03-19,03-22,1.6,1.6/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,13,03-26,03-29,1.6,1.6/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,14,04-02,04-05,1.7,1.7/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,15,04-09,04-12,1.7,1.7/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,16,04-16,04-19,1.9,1.9/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,17,04-23,04-26,2.2,2.2/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,18,04-30,05-03,2.5,2.5/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,19,05-07,05-10,2.8,2.8/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,20,05-14,05-17,3.3,3.3/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,21,05-21,05-24,4.3,4.3/10,medium,false
piercast-core-seasonal-v0.1.0,ludington_mi__chinook_salmon__v0_1,ludington_mi,chinook_salmon,22,05-28,05-31,5.4,5.4/10,medium,false
