pairKey,cityId,speciesId,evidenceGrade,idealPeakDate,idealPeakMode,researchedFisheryStrength,v3IdealPeakScore
"ludington_mi/chinook_salmon","ludington_mi","chinook_salmon","A","2027-08-30","fall_harbor_staging",8.3,8.3
"ludington_mi/coho_salmon","ludington_mi","coho_salmon","A","2027-10-20","fall_harbor_staging",5.6,5.6
"ludington_mi/steelhead","ludington_mi","steelhead","A","2027-10-20","fall_harbor_staging",8.1,8.1
"ludington_mi/brown_trout","ludington_mi","brown_trout","A","2027-04-05","spring_nearshore",7.6,7.6
"grand_haven_mi/chinook_salmon","grand_haven_mi","chinook_salmon","A","2027-09-08","fall_harbor_staging",7.8,7.8
"grand_haven_mi/coho_salmon","grand_haven_mi","coho_salmon","A","2027-09-10","fall_harbor_staging",8.8,8.8
"grand_haven_mi/steelhead","grand_haven_mi","steelhead","A","2027-10-30","fall_harbor_staging",9.2,9.2
"grand_haven_mi/brown_trout","grand_haven_mi","brown_trout","A","2027-04-15","spring_nearshore",7.6,7.6
"manistee_mi/chinook_salmon","manistee_mi","chinook_salmon","A","2027-08-30","fall_harbor_staging",9.5,9.5
"manistee_mi/coho_salmon","manistee_mi","coho_salmon","A","2027-10-05","fall_harbor_staging",8.2,8.2
"manistee_mi/steelhead","manistee_mi","steelhead","A","2027-10-28","fall_harbor_staging",10,10
"manistee_mi/brown_trout","manistee_mi","brown_trout","A","2027-04-10","spring_nearshore",8.2,8.2
"frankfort_elberta_mi/chinook_salmon","frankfort_elberta_mi","chinook_salmon","A","2027-08-16","fall_harbor_staging",9.7,9.7
"frankfort_elberta_mi/coho_salmon","frankfort_elberta_mi","coho_salmon","A","2027-09-15","fall_harbor_staging",8.6,8.6
"frankfort_elberta_mi/steelhead","frankfort_elberta_mi","steelhead","A","2027-10-16","fall_harbor_staging",9.8,9.8
"frankfort_elberta_mi/brown_trout","frankfort_elberta_mi","brown_trout","A","2027-04-05","spring_nearshore",7.5,7.5
"sheboygan_wi/chinook_salmon","sheboygan_wi","chinook_salmon","B","2027-08-31","fall_harbor_staging",9.4,9.4
"sheboygan_wi/coho_salmon","sheboygan_wi","coho_salmon","B","2027-04-15","spring_nearshore",7.7,7.7
"sheboygan_wi/steelhead","sheboygan_wi","steelhead","B","2027-07-15","summer_thermal_break_or_upwelling",7.3,7.3
"sheboygan_wi/brown_trout","sheboygan_wi","brown_trout","B","2027-04-15","spring_nearshore",7.8,7.8
"port_washington_wi/chinook_salmon","port_washington_wi","chinook_salmon","B","2027-08-15","fall_harbor_staging",7.2,7.2
"port_washington_wi/coho_salmon","port_washington_wi","coho_salmon","B","2027-04-20","spring_nearshore",7.8,7.8
"port_washington_wi/steelhead","port_washington_wi","steelhead","B","2027-04-15","winter_spring_thermal_front",5.2,5.2
"port_washington_wi/brown_trout","port_washington_wi","brown_trout","B","2027-04-01","spring_nearshore",7,7
"milwaukee_wi/chinook_salmon","milwaukee_wi","chinook_salmon","B","2027-08-10","summer_coldwater_access",7,7
"milwaukee_wi/coho_salmon","milwaukee_wi","coho_salmon","B","2027-05-20","spring_nearshore",7.6,7.6
"milwaukee_wi/steelhead","milwaukee_wi","steelhead","B","2027-04-15","winter_spring_thermal_front",4.6,4.6
"milwaukee_wi/brown_trout","milwaukee_wi","brown_trout","B","2027-04-01","spring_nearshore",6.6,6.6
"racine_wi/chinook_salmon","racine_wi","chinook_salmon","B","2027-08-15","fall_harbor_staging",7.4,7.4
"racine_wi/coho_salmon","racine_wi","coho_salmon","B","2027-04-20","spring_nearshore",7.6,7.6
"racine_wi/steelhead","racine_wi","steelhead","B","2027-07-15","summer_thermal_break_or_upwelling",5.7,5.7
"racine_wi/brown_trout","racine_wi","brown_trout","B","2027-04-01","spring_nearshore",6.7,6.7
"kenosha_wi/chinook_salmon","kenosha_wi","chinook_salmon","B","2027-08-15","fall_harbor_staging",6.7,6.7
"kenosha_wi/coho_salmon","kenosha_wi","coho_salmon","B","2027-04-20","spring_nearshore",8,8
"kenosha_wi/steelhead","kenosha_wi","steelhead","B","2027-04-15","winter_spring_thermal_front",4.3,4.3
"kenosha_wi/brown_trout","kenosha_wi","brown_trout","B","2027-04-01","spring_nearshore",5.8,5.8
